Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-02-22,266.4,268.2,258,258.1,467362
2021-02-23,259,261.1,250.1,257.7,556188
2021-02-24,258.2,262.3,256,258.2,341058
2021-02-25,255,256,249.1,251.6,767659
2021-02-26,249.6,249.9,234.2,236.6,1478281
2021-03-01,237.4,241,225.2,240.3,1089101
2021-03-02,240.9,245.9,236,241.3,674141
2021-03-03,241.8,245.3,227,228.3,836642
2021-03-04,228.3,237.5,226,235,531892
2021-03-05,233.5,237.8,228.8,232,458449
2021-03-08,234.9,237.5,232,232,407552
2021-03-09,231.5,233.7,223,223,1020824
2021-03-10,223,226.7,210.2,210.2,1263988
2021-03-11,210.5,223.6,206.6,221,1199773
2021-03-12,223,235.1,220.3,226.5,846781
2021-03-15,231,234.6,225.5,229.9,523875
2021-03-16,233,236.1,226.5,229.5,418635
2021-03-17,230,232,223.1,231,535624
2021-03-18,231,231.7,220.7,220.7,634370
2021-03-19,220.7,227,217.9,223.2,961059
2021-03-22,221,221,216.8,217,536426
2021-03-23,218,221,211.4,220.7,589239
2021-03-24,219.4,222.4,215.1,217.1,480745
2021-03-25,219.9,221.9,208.1,208.1,740462
2021-03-26,210,216.9,209.5,212,437112
2021-03-29,218,243.5,216,239.7,2085034
2021-03-30,250,251.6,216.8,217.9,1652983
2021-03-31,199.8,203.7,181.5,190.5,3528905
2021-04-01,190.8,197.78,185.06,194.58,1055635
2021-04-06,198.98,201,194.02,197.08,734970
2021-04-07,198.22,198.84,191,191.76,522394
2021-04-08,191.78,191.78,182.1,183,1176280
2021-04-09,183.52,192,181.6,184.38,1061406
2021-04-12,185.7,188.1,183.38,186.5,391286
2021-04-13,187.2,190.5,185.98,186.5,361855
2021-04-14,188.5,190.3,184.2,185.76,547448
2021-04-15,186,188.8,185.02,187.42,325032
2021-04-16,190,192.5,175,176.76,1703454
2021-04-19,178.94,185.1,177.1,177.5,685110
2021-04-20,178.5,181.2,172.22,173,571326
2021-04-21,173,179.96,167.3,172.6,735255
2021-04-22,175.7,176.7,172.3,173.5,302258
2021-04-23,176.98,179,167.5,171.14,708623
2021-04-26,173.48,173.9,165.1,168.98,689756
2021-04-27,166,173.34,166,168.3,614501
2021-04-28,170,174.7,168.6,172.5,666274
2021-04-29,175,177,170.6,175.24,524519
2021-04-30,175.76,179.74,174,174.12,480142
2021-05-04,175.22,175.8,167.7,168.92,591802
2021-05-05,168,168.42,156.3,161.5,772183
2021-05-06,160.5,161.28,154.62,156.52,773761
2021-05-07,157,161.46,156.14,161.46,449907
2021-05-10,163,165.4,156.6,156.66,468415
2021-05-11,156.96,157.08,151.08,154.26,771292
2021-05-12,155.26,170.78,151.78,161,963645
2021-05-13,162.2,164.12,155.74,157.92,604194
2021-05-14,159.48,166.76,155.1,164.88,614872
2021-05-17,167,178,165.5,171.72,927411
2021-05-18,174.5,176.66,167.24,170,935851
2021-05-19,169,170.3,166,169.06,578879
2021-05-20,169.22,176.32,169.2,175.5,681645
2021-05-21,175.5,176.36,171.46,173,659440
